iter	Passed	Remaining
0	197	1969958
1	301	1508162
2	419	1398945
3	535	1337251
4	652	1305005
5	778	1297174
6	901	1286970
7	1003	1252995
8	1108	1230346
9	1221	1220550
10	1328	1206327
11	1440	1198731
12	1576	1211062
13	1673	1193489
14	1775	1181885
15	1896	1183315
16	1993	1170382
17	2101	1165130
18	2222	1167488
19	2339	1167366
20	2444	1161428
21	2563	1162502
22	2668	1157757
23	2770	1151503
24	2874	1147075
25	2971	1140058
26	3095	1143358
27	3223	1148102
28	3332	1145836
29	3429	1139895
30	3541	1138994
31	3641	1134402
32	3747	1131900
33	3852	1129326
34	3968	1129983
35	4079	1128981
36	4185	1127062
37	4285	1123394
38	4396	1122909
39	4507	1122284
40	4611	1120244
41	4714	1117820
42	4831	1118844
43	4958	1122049
44	5074	1122658
45	5186	1122222
46	5289	1120235
47	5398	1119336
48	5517	1120581
49	5635	1121407
50	5736	1119000
51	5838	1116886
52	5956	1117969
53	6079	1119798
54	6185	1118379
55	6291	1117113
56	6411	1118399
57	6537	1120607
58	6649	1120351
59	6760	1120014
60	6881	1121174
61	6997	1121668
62	7101	1120119
63	7210	1119439
64	7325	1119662
65	7443	1120353
66	7553	1119887
67	7664	1119417
68	7774	1119022
69	7893	1119771
70	8012	1120535
71	8141	1122556
72	8268	1124401
73	8424	1129988
74	8548	1131314
75	8684	1134016
76	8811	1135601
77	8954	1139075
78	9068	1138853
79	9195	1140207
80	9322	1141561
81	9453	1143384
82	9566	1142972
83	9689	1143851
84	9804	1143684
85	9929	1144682
86	10045	1144629
87	10164	1144886
88	10274	1144119
89	10399	1145141
90	10514	1144908
91	10630	1144843
92	10751	1145361
93	10879	1146553
94	10993	1146212
95	11121	1147328
96	11243	1147895
97	11373	1149233
98	11498	1149930
99	11622	1150657
100	11745	1151136
101	11877	1152604
102	11997	1152765
103	12139	1155150
104	12254	1154876
105	12379	1155486
106	12497	1155516
107	12628	1156663
108	12752	1157190
109	12874	1157539
110	12993	1157573
111	13149	1160898
112	13257	1159949
113	13377	1160059
114	13497	1160223
115	13625	1161013
116	13745	1161078
117	13878	1162275
118	13994	1162023
119	14126	1163093
120	14248	1163280
121	14387	1164893
122	14512	1165358
123	14634	1165565
124	14752	1165486
125	14882	1166281
126	15166	1179023
127	15270	1177701
128	15395	1178057
129	15517	1178174
130	15649	1178961
131	15767	1178706
132	15897	1179420
133	16010	1178777
134	16133	1178965
135	16258	1179255
136	16395	1180329
137	16512	1180010
138	16636	1180245
139	16764	1180725
140	16901	1181769
141	17012	1181070
142	17130	1180777
143	17253	1180913
144	17378	1181145
145	17497	1180950
146	17634	1181961
147	17748	1181481
148	17876	1181858
149	17990	1181345
150	18117	1181723
151	18231	1181210
152	18350	1181007
153	18479	1181492
154	18600	1181444
155	18715	1180972
156	18835	1180906
157	18958	1180922
158	19083	1181107
159	19192	1180316
160	19312	1180198
161	19430	1179968
